mass__g_,reclat,reclong
7.25,-72.99722,75.20389
5.79,-72.98028,75.25556
2.02,-72.98028,75.25472
3.06,-72.98139,75.24972
1.28,-72.98,75.26
8.12,-72.97917,75.26583
36.4,-72.97889,75.26472
139.7,-72.97667,75.26028
0.56,-72.9925,75.206389
0.85,-72.9925,75.206389
31.2,-72.9925,75.20639
1.19,-72.9925,75.20639
1.72,-72.9925,75.20639
2.65,-72.9925,75.206389
6.34,-72.9925,75.20639
26.0,-72.9925,75.20639
28.8,-72.9925,75.20639
1.1,-73.000833,75.217222
4.31,-72.99361,75.21806
77.6,-72.983056,75.229167
1.06,-72.983056,75.229167
92.3,-72.983056,75.229167
1.53,-72.983056,75.229167
1.14,-72.98306,75.22917
0.48,-72.98306,75.22917
8.25,-72.98611,75.21389
4.39,-72.988333,75.203611
26.3,-72.98972,75.21833
3.33,-72.983889,75.246389
21.3,-72.983333,75.251111
2.63,-72.983889,75.246667
241.2,-72.96694,75.27333
342.5,-72.93611,75.30889
278.2,-72.94639,75.28333
462.7,-72.93667,75.30139
0.7,-72.9625,75.225833
16.26,-72.93472,75.32167
18.63,-72.93472,75.32028
1.51,-72.935,75.31861
10.45,-72.93528,75.32222
3.2,-72.93611,75.30556
13.48,-72.93833,75.28972
9.34,-72.938333,75.290278
19.67,-72.94028,75.28583
105.88,-72.96389,75.21611
3.88,-72.85222,75.21944
28.09,-72.85444,75.21083
24.51,-72.825,75.35639
3.26,-72.9775,75.216944
1.31,-72.7925,75.29194
0.7,-72.791389,75.297222
1.0,-72.77306,75.315
0.93,-72.773889,75.336389
1.0,-72.77361,75.34444
1.08,-72.79056,75.27944
4.14,-72.788889,75.295833
2.58,-72.78889,75.2975
2.59,-72.788056,75.303889
1.51,-72.78806,75.31083
1.08,-72.78778,75.28889
1.14,-72.78694,75.30444
8.54,-72.77389,75.32472
1.01,-72.775,75.341111
0.56,-72.77722,75.33833
0.64,-72.778611,75.330278
0.92,-72.778333,75.325278
0.92,-72.777778,75.327778
1.3,-72.777778,75.328333
